symbol,timestamp,open,high,low,close,volume
GOOGL,2025-03-21 19:00:00,164.3500,164.4000,164.3000,164.3500,2374
GOOGL,2025-03-21 18:55:00,164.3400,164.4100,164.3000,164.3003,2581
GOOGL,2025-03-21 18:50:00,164.3000,164.3600,164.3000,164.3500,362
GOOGL,2025-03-21 18:45:00,164.3400,164.3600,164.3000,164.3600,186
GOOGL,2025-03-21 18:40:00,164.3600,164.3600,164.3000,164.3400,246
GOOGL,2025-03-21 18:35:00,164.3028,164.3600,164.3000,164.3000,13377
GOOGL,2025-03-21 18:30:00,164.3000,164.3600,164.3000,164.3000,474
GOOGL,2025-03-21 18:25:00,164.2500,164.3600,164.2500,164.3100,1113
GOOGL,2025-03-21 18:20:00,164.2000,164.3500,164.1100,164.3500,1288
GOOGL,2025-03-21 18:15:00,164.2508,164.3500,164.1000,164.1000,1245
GOOGL,2025-03-21 18:10:00,164.1800,164.3000,164.1500,164.2500,384
GOOGL,2025-03-21 18:05:00,164.1600,164.2400,164.1300,164.1700,889
GOOGL,2025-03-21 18:00:00,164.1500,164.1700,164.1100,164.1600,1430
GOOGL,2025-03-21 17:55:00,164.1600,164.1700,164.1500,164.1600,551
GOOGL,2025-03-21 17:50:00,164.1900,164.1900,164.1000,164.1500,1014
GOOGL,2025-03-21 17:45:00,164.2250,164.3500,164.1000,164.1500,307
GOOGL,2025-03-21 17:40:00,164.1000,164.2800,164.0100,164.1045,294
GOOGL,2025-03-21 17:35:00,164.1600,164.2800,164.0700,164.0700,553
GOOGL,2025-03-21 17:30:00,164.4100,164.4100,164.0000,164.2800,12061
GOOGL,2025-03-21 17:25:00,164.1600,164.4100,164.0700,164.3700,11869
GOOGL,2025-03-21 17:20:00,164.0700,164.2000,164.0700,164.1773,384
GOOGL,2025-03-21 17:15:00,164.8679,173.3179,161.8310,164.1800,1257
GOOGL,2025-03-21 17:10:00,163.9793,169.1786,161.8310,164.1000,3431
GOOGL,2025-03-21 17:05:00,164.1790,175.6372,161.8310,164.2100,3330
GOOGL,2025-03-21 17:00:00,164.1700,174.2054,164.1000,164.1000,1971
GOOGL,2025-03-21 16:55:00,164.1000,164.1400,163.9900,164.1400,26066
GOOGL,2025-03-21 16:50:00,164.1400,164.1700,163.9900,164.1400,1263
GOOGL,2025-03-21 16:45:00,164.0200,164.3200,163.9900,164.1200,15576
GOOGL,2025-03-21 16:40:00,164.0800,164.0800,163.9900,164.0700,22690
GOOGL,2025-03-21 16:35:00,164.1675,164.1700,163.9802,164.0500,13299
GOOGL,2025-03-21 16:30:00,164.0200,164.2000,164.0200,164.1100,15595
GOOGL,2025-03-21 16:25:00,164.0200,164.1500,163.9700,164.0200,40051
GOOGL,2025-03-21 16:20:00,164.0200,164.0800,163.9900,164.0287,23150
GOOGL,2025-03-21 16:15:00,164.0800,164.1197,163.9900,164.0200,2862
GOOGL,2025-03-21 16:10:00,163.9400,164.0900,163.8700,164.0100,594355
GOOGL,2025-03-21 16:05:00,163.9900,164.0800,163.8800,163.8800,560269
GOOGL,2025-03-21 16:00:00,164.0200,164.2200,163.7200,163.9900,21707045
GOOGL,2025-03-21 15:55:00,163.7800,164.2400,163.7400,164.0200,2167132
GOOGL,2025-03-21 15:50:00,162.9300,164.0000,162.9300,163.7800,1075217
GOOGL,2025-03-21 15:45:00,163.0600,163.0950,162.9150,162.9300,263439
GOOGL,2025-03-21 15:40:00,163.0500,163.1300,162.9400,163.0600,201927
GOOGL,2025-03-21 15:35:00,162.9800,163.2000,162.9500,163.0600,210757
GOOGL,2025-03-21 15:30:00,163.0150,163.1650,162.9800,162.9800,240357
GOOGL,2025-03-21 15:25:00,162.9000,163.0150,162.7600,163.0150,186959
GOOGL,2025-03-21 15:20:00,162.7900,162.9900,162.6800,162.9000,426494
GOOGL,2025-03-21 15:15:00,162.7800,162.8600,162.5900,162.8000,136226
GOOGL,2025-03-21 15:10:00,162.7200,162.8300,162.6150,162.7900,208230
GOOGL,2025-03-21 15:05:00,162.8200,162.9500,162.6900,162.7400,148860
GOOGL,2025-03-21 15:00:00,162.8500,162.8900,162.7200,162.8200,143493
GOOGL,2025-03-21 14:55:00,162.8000,162.9649,162.8000,162.8550,141466
GOOGL,2025-03-21 14:50:00,162.9100,162.9900,162.7300,162.8000,132192
GOOGL,2025-03-21 14:45:00,163.0900,163.1500,162.7732,162.9100,163828
GOOGL,2025-03-21 14:40:00,163.0700,163.1600,163.0200,163.0850,108736
GOOGL,2025-03-21 14:35:00,163.0300,163.1900,162.9800,163.0835,94745
GOOGL,2025-03-21 14:30:00,162.9200,163.1200,162.9000,163.0350,110443
GOOGL,2025-03-21 14:25:00,162.9800,162.9977,162.8300,162.9100,104536
GOOGL,2025-03-21 14:20:00,163.0950,163.1800,162.8900,162.9700,120018
GOOGL,2025-03-21 14:15:00,162.9200,163.1600,162.8800,163.1200,123055
GOOGL,2025-03-21 14:10:00,163.0350,163.0350,162.8050,162.9400,130256
GOOGL,2025-03-21 14:05:00,163.1600,163.1600,162.9400,163.0400,103371
GOOGL,2025-03-21 14:00:00,162.9450,163.2000,162.9100,163.1650,130947
GOOGL,2025-03-21 13:55:00,163.2450,163.2500,162.9200,162.9420,130395
GOOGL,2025-03-21 13:50:00,163.2500,163.3700,163.1800,163.2450,174798
GOOGL,2025-03-21 13:45:00,163.0700,163.2550,163.0400,163.2500,141722
GOOGL,2025-03-21 13:40:00,163.0200,163.1750,162.9500,163.0523,120597
